discussion,role
Ранее уплаченные авансовые платежи УСН при смене региона и льготный тариф ип Индивидуальный предприниматель усн Упрощенная система управления ,1
Штаф за НДФЛ неперечисленный в срок налоговым агентом ,1
Раздельный НДС ,1
Отчеты в пенсионку в свежей фирме усн Упрощенная система управления ,1
Уточненка по рсв ,1
Восстановление НДС при выполнении гарантийного ремонта (2017-2018) ,1
Прослеживаемость товаров ,1
ОСВ на УСН усн Упрощенная система управления ,1
Можно ли принять от ИП оплату наличными в размере более 100 тысяч рублей? ,1
С 01.01.2022 выданные оператором электронного документооборота ЭЦП не действительны? ,1
"ИП заменил ФН в кассе 10 июля, а отнес заявление в налоговую 5 августа ",1
"Где взять РНПТ, если товар импортировали до 8 июля? ",1
1 августа изменения в работе с таможней ,1
Бухгалтерский баланс для банка ,1
1С УПП выгрузка из продаж в производство документы ,1
Упрощенная форма бухгалтерской отчетности ,1
Требование от ИФНС сдать заново все декларации по страховым взносам за 2018г ,1
Здравствуйте! Вопрос по 1С УПП 8.3. Регламентные операции ,1
Экспорт в Беларусь в передачей товара в Германии ,1
Дата по ЭДО ,1
"Доплата по больничному листу больничный Больничный лист — официально «листок нетрудоспособности» — это документ, который оформляет медорганизация. Он дает право временно не ходить на работу и получить денежную компенсацию за вынужденный простой. ",1
"Переход на 1С:Отчетность 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Бизнес карты подотчетников в 1С ,1
Программы для магазина автозапчастей ,1
Магазин автозапчастей ,1
Магазин автозапчастей режим налогообложения усн Упрощенная система управления ,1
"УСН. Только открыли а как списывать расходы, если еще нет дохода ",1
Агент на УСН заключил договор факторинга в интересах принципала от своего имени усн Упрощенная система управления ,1
Оповестилит ифнс лично о кассовой ошибки верно или нет? ,1
"ФСБУ 5/219 ""Запасы"" ",1
"База по НДФЛ ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Включаются ли в общую сумму расчета лимита выручки для применения УСН доходы от реализации долей усн Упрощенная система управления ,1
Агентирование ,1
Как в учетной политике прописать единицу учета запасов? ,1
Нужно ли устраиваться на работу беременной женщине для получения всех пособий? ,1
Пособие по БиР - алгоритм 2021? ,1
Списание топлива ИП на УСНО 15% усн Упрощенная система управления ,1
Указание Муниципального округа в адресе в первичных документах ,1
Переплата по зарплате ,1
"Касса, денежные документы ",1
"Оценка запасов на отчетную дату ФСБУ 5/2019 ""Запасы"" ",1
Чек и пко для арендатора ,1
Учет техники на балансе пока не продали (ООО на ОСНО) ,1
Субсидии и собственные средства ,1
Проводки по взысканной дебиторской задолженности за прошлый период ,1
"ФСС позже сданы отчеты, по Контуру требование не приходило, сняли штраф ",1
РК для больничного в 2021 году ,1
Перевыпуск ЭЦП (сертификата) при смене юридического адреса ООО ,1
Травматизм ФСС Москва (ифнс 16) ,1
Обучение персонала Покупателя работе на оборудовании — образовательная деятельность? ,1
Отчет комиссионера в бухгалтерии усн Упрощенная система управления ,1
Указание номера ГТД в графе 11 счета-фактуры ,1
Перенос счёта фактуры в следующий квартал ,1
Отчетность 2021 г ,1
Аванс после отпуска ,1
Зачет аванса в кассе Атол 91Ф ,1
"Вычет за супругу по другой квартире имущественный-вычет Имущественный налоговый вычет — это сумма, которую можно вычесть из налогооблагаемых доходов. Имущественный налоговый вычет — это сумма, которую можно вычесть из налогооблагаемых доходов. Тогда НДФЛ придётся платить не со всего заработка, а только с разницы между доходом и вычето ",1
Какие документы должен вести кассир ИП на УСН ,1
КБК штрафов за несданные отчеты за 2019 год ,1
Арендный платеж ,1
Выдача беспроцентного займа сотруднику и раздельный учет НДС ,1
Поступление на расчетный счет от физлица ,1
Возврат денег по договору займа ,1
В продолжении ЛН дата нахождения в стационаре ранее даты открытия этого ЛН - замена? ,1
Key Visual это НМА или расходы на рекламу ,1
Организация приобрела транспортное средство и хочет сдать в лизинг ,1
Безвозмездное пользование имуществом для услуг ,1
Письмо ФНС № СД-4-3/10681@ от 29.07.2021 о заполнении сч-ф ,1
ККТ импортного товара ,1
ККТ и Выдача займов физлицу с 1 июля 2021 года ,1
Компания приобрела транспортное средство и хочет сдать в лизинг ,1
Ошибка в ЭЛН ,1
Дивиденды 2021 больше 5мил. Что будет если заплатить со всей суммы 15% что бы у дира потом разницу не удерживала налоговая ,1
Договор аренды авто у сотрудника ООО на УСН усн Упрощенная система управления ,1
Вычет за ипотечную квартиру в новостройке ,1
Не дают счёт-фактуру на аванс ,1
Прослеживаемость товаров - ЭДО ,1
Получение КЭП (ЭЦП) в налоговой в Москве ,1
"ИП - БСО с 01.07.2021, на онлайн кассе? усн Упрощенная система управления ",1
НДФЛ с ЗП работников у ИП на патенте ,1
"Транспортные расходы, увеличивающие себестоимость товара и возврат товара ",1
"Как рассчитать ежегодный отпуск декретнице, работающей на не полном рабочем дне ",1
Нет начисления НДФЛ в больничном и вычет меньше положенного ,1
Как уведомить Федресурс о ликвидации? ,1
Работа в майские праздники и расчет при увольнении ,1
Снять ККТ с учета по инициативе ФНС и без ККТ ,1
Больничные за 2020 в 2021 ,1
Почему минусует ндфл после дивидендов ,1
Лживая статистика по заработной плате или очковтирательство в масштабах нашей страны? ,1
Нераспределенная прибыль и лимиты УСН усн Упрощенная система управления ,1
"Продажа в кредит, облачная касса ",1
"Адрес в договорах и первичных документах отличается от адреса, который прописан в ЕГРЮЛ: критично ли это? ",1
Программа для ведения учета усн Упрощенная система управления ,1
"Какой набор программ (платных и бесплатных) для удаленного бухгалтера, малый бизнес, нужно иметь? ",1
1С 7.7 и книга покупок ,1
Отказ в выплате пособия до 12 недель ,1
6-НДФЛ и РСВ 2021 по ГПХ ,1
Декларация за НВОС ,1
Возврат излишне уплаченного налога через ТКС ,1
Инвентаризационная опись	 инв-3 ,1
Расходы УСН импортного товара ,1
"Договор реализации товара с Вайлдбериз, как оформить сч-фактуру ",1
Разменный фонд (Касса организации) ,1
Передача материалов и оборудования с ООО на ИП с минимальным налогообложением усн Упрощенная система управления ,1
"Как заполнить РСВ за 2020г, чтобы заполнилась строка 120 ""превышение расходов""? ",1
Перенос убытка прошлых лет в декларации за полугодие ,1
Водоканал ,1
Не включены полученные дивиденды в декларацию по прибыли ,1
"Расчет бумажного больничного по трём местам работы в одном месте. Возможно? больничный Больничный лист — официально «листок нетрудоспособности» — это документ, который оформляет медорганизация. Он дает право временно не ходить на работу и получить денежную компенсацию за вынужденный простой. ",1
Расчет минимального налога УСН ,1
Возмещение НДС при льготе ,1
"Вызов в налоговою, расхождения суммы доходов в декларации по УСН и в выписке из банка усн Упрощенная система управления ",1
Товар получает транспортная компания ,1
Настройка 1С Розница ,1
Отчетность по НДС и прибыли ,1
Не отправили чеки в налоговую ,1
Заполнение 6-НДФЛ (сумма аванса была равна сумме зп) ,1
Стоит ли отправлять в Налоговую уведомление о запрете приема декларации по НДС через доверенное лицо? ,1
Зачет переплаты по налогам ,1
Проверка по УСН спустя более 4х месяцев после подачи декларации ,1
Требование ИФНС по расхождению бухгалтерского баланса и декларации на прибыль ,1
Чек коррекции 1с УТ ,1
ИП - можно ли принять к расходам УСН? ,1
Расчет отпускных после выхода из декретного отпуска ,1
Обособленное подразделение отчеты и оплата обособленное-подразд Обособленное подразделение ,1
Отчёт МПсп не сдан ,1
Ремонт или модернизация ОС? ,1
Прослеживаемые товары ,1
Повышение оклада в отпуске ,1
Требование от ИФНС другого региона по п.2 ст.93.1 ,1
Требование пояснений по снятым наличным на основе данных РСВ ,1
Письмо в налоговую ,1
Что изменилось в налоговом уведомлении для физлиц с лета-2021 ,1
Контрагент реорганизовался: по какой организации подавать документы в ИФНС в ответ на требование? ,1
Декларация по налогу на прибыль при закрытии обособленного подразделения ,1
Резерв по сомнительным долгам по обязательству в валюте ,1
Уведомление о зачете страховых взносов в уплату патента ,1
Скажите почему ,1
Покупка ос у физ лица ,1
Давальческое сырье или передача товара по себестоимость? ,1
Момент признания лизинговых расходов ,1
Расхождение с ФСС ,1
Помогите с чеком коррекции по непробитому чеку от продажи коммерческой недвижимости ,1
Внешний жесткий диск ,1
Компенсация удаленщику ,1
1С Бух. Начисление дивидендов и проблема с 6-НДФЛ ,1
Перенос убытков в КУДиР ,1
Уточненка по УСН (налог к уменьшению) ,1
"Гендиректор, он же единственный участник. СЗВ-ТД ",1
Помогите разобраться!Расхождения с отчетом декларации по прибыли ,1
Помогите разобраться ,1
УПД новая форма ,1
Возврат некачественного импортного товара на доработку /процедура ,1
Программа для электронной поадчи заявлений в налоговую по госрегистрации ,1
Форма УПД с 01.07.21 ,1
Затраты на ремонт арендованной квартиры ,1
Отображение корректирующих сумм УКД в разделе 7декларации по НДС при переходе между кварталами ,1
"Кол-во физ лиц, получивших доход + аренда в 6-ндфл ",1
Простое товарищество ,1
Ндс 0 % при перевозках ,1
Хранение документов ,1
Укд новая форма с 01.07.2021г ,1
Доход нерезидента и НДФЛ ,1
Учет ОС при УСН доходы минус расходы ,1
Прослеживаемость товаров с госучереждениями ,1
Декларация прибыль и списанный льготный кредит ,1
"Возвратная счет-фактура на аванс, если мы на льготе ",1
Заполнение РСВ в Налогоплательщик ЮЛ ,1
ИП сдает помещение в аренду без ККТ ,1
Вопрос по коллегии адвокатов ,1
Нулевой отчет о вакцинации не принят! ,1
Учет расходов на сервер при УСН усн Упрощенная система управления ,1
"Выплата зарплаты в 1С ЗУП 8.3.1 дата составления ведомости и фактическая выплата 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Корректировочный счет фактура ,1
Ндс дарение ,1
"Налог на прибыль, включая закрытые обособленные подразделения ",1
Оприходование ПО и ПК из комплектующих ,1
Сдача уточненки по НДС за 1 квартал (регистрация в доп. листе продаж) ,1
"Москва, Фуд сити, торговый сбор ",1
Время загрузки выписки из клиент банка в 1 С ,1
"1С не формирует декларацию по НДС для вновь созданной организации 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Электронный чек ,1
Помогите разобраться ,1
Импорт из Белоруссии ,1
Ноутбук ,1
Переуступка прав по лизингу ,1
Копейки в РСВ ,1
Заверить протокол ,1
Подотчет ,1
Налогообложение невозмещаемой суммы по дилерскому договору ,1
Больничный самому ИП ,1
Достали письма из ПФР по ГПХшникам! Внесем изменения в СЗВ-М! ,1
1с 8.3 бухг. перестал начислять пониж.тариф с 1кв21 ,1
Отчетный период в СЗВ-ТД при исправлении ,1
"Продажа товара и услуг для нужд международной организации, как учесть НДС ",1
Доля вычета по ндс ,1
Какой НДФЛ - продажа участка ИЖС ,1
Помогите с проводками! ,1
Больничный лист ,1
Форма УПД ,1
Уточненная декларация во время выездной проверки ,1
Даты в УПД ,1
Учёт лома металлов на складе ,1
Факторинг ,1
Заполнение 6-НДФЛ ,1
Корректировка численности на i.moscow ,1
Разница в НД прибыль и ндс ,1
Переплата пени в прошедшем году ,1
Отражение расходования уставного капитала ,1
Основные средства ,1
Остаток в кассе или п/о ,1
Новая форма УПД ,1
Налог на прибыль при прощении долга с учетом новой позиции Минфина ,1
Иностранная организация импортирует услуги физлицам рф ,1
Конструктивная гибель лизингового имущества проводки ,1
РСВ не проходит проверку ,1
Факторинг и декларация по налогу на прибыль ,1
"4-ФСС исправление прошлых лет суммы на начало года 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Некорректная ТД ,1
Расходы при ИП ,1
Какую ставку ндс правомерно применять медицинские халаты ,1
"Программа ""Налогоплательщик ЮЛ"" версия 4.72.1 ",1
"Продавцы в берут продукты под запись, а в конце квартала рассчитываем зарплату за три месяца и остатки выплачиваем ",1
Налоговый вычет продажа участка пенсионером ,1
Материалы по кассовому чеку без товарного и накладной ,1
"НДФЛ при продаже квартиры менее 5 лет, купленной с использование мат. капитала ",1
Помогите разобраться с льготой по ндс ,1
Упд подпись ,1
Оприходование товара по валютному договору в рублях ,1
Ндфл 15% ,1
Расходы на доставку в себестоимость ,1
Зарплата директора ниже ,1
"Премия за ""добровольную"" вакинацию ",1
"Нужно ли сдавать отчет о вакцинации ООО, которое ведет деятельность по коду ОКВЭД 33.12 (ремонт машин и оборудования)? ",1
Внереализационные доходы ,1
Блокировка счета ,1
НДС при получении услуг от украинской фирмы ,1
Оплата иностранцу ВКС усн Упрощенная система управления ,1
Нужен ли чек? Продажа недвижки от ИП (через депозит нотариуса) юрлицу ,1
"ИП, УСН 6: + Патент усн Упрощенная система управления ",1
"Применение ККТ у ИП на УСН без работников (вид деятельности опт,розн торговля) ",1
Снять кассу с учета которая давно не работает и нет оплаты с офд ,1
ФНС не принимает отчетность по полугодию. Сбой ,1
Доходы по кредитному договору ,1
Лизинг проводки ,1
Исправление ошибок прошлого периода усн Упрощенная система управления ,1
Нужно ли ООО на ОСНО вести раздельный учет по НДС при получении процентного займа от ООО на УСН и его возврате? ,1
"Штрафы егаис, кто в курсе? ",1
Сзв-тд ,1
Программное обеспечения ,1
Заполнение РСВ ,1
Учетная политика ,1
Вакцинация в Турагенстве ,1
УСН и электромонтажные работы ,1
Отсутствие отметки об исполнении требование согласно исполнительного листа исполнительный-лист  ,1
Ввоз товара из Беларуси ,1
Ген услуги от подрядчика субподрядчику по бюджетным контрактам ,1
Расходы на обучение ИП усн Упрощенная система управления ,1
Реорганизация в форме присоединения ,1
"6-НДФЛ начислили, удержали, но не перечислили ",1
Нарушение применения ККТ усн Упрощенная система управления ,1
Частичный зачет аванса НДС ,1
"Дивиденды, даты начисления, выплаты, НДФЛ с дивидендов И 6-НДФЛ ",1
Внесение изменений в Устав ООО ,1
Задолженность по заработной плате ,1
Отчет о вакцинации ,1
Можно ли сменить метод списания товаров в торговле? ,1
Выгрузка базы 1С ,1
"Как разделить выручку и курсовую разницу при выплате туристу суммы меньшей, чем оплачивали за тур иностранному Туроператору ",1
Просветите по маркировке обуви для оптовика ,1
Возврат аванса по карте не попадает в книгу доходов на патенте ,1
Оплата с личной карты за ООО ,1
Сверка с контрагентами ,1
Приказ о назначение ответственного за сдачу отчетности в ПФР ,1
Строительство подъездной дороги - как учитывать? ,1
Организации на УСН: что сдаем за 2 квартал 2021 года ,1
Акт выполненных работ ,1
Оплата труда сторожа в ДОУ ,1
Оформить дополнительную работу коммерческого директора ,1
Кто и какую декларацию сдают оптовики по пиву ,1
Прослеживаемость товаров ,1
Изменился ОКТМО как заполнить 3 НДФЛ и заявление на возврат ,1
"Самозанятость для ковида, как сохранить рабочие места самозанятые Согласно закону самозанятый — это человек, который платит специальный налог на профессиональный доход (НПД). При этом не нужно дополнительно отчислять подоходный налог или налог на прибыль. ",1
Установка ККТ ,1
Реализация товаров с разной торговой наценкой разным покупателям ,1
Наименование в уПД ,1
Транспортные расходы до покупателя ,1
Налог взимаемый зарубежным хостером ,1
УПД со статусом 1 с 01.07.2021 ,1
ИФНС закрыло ИП по отсутствию деят-ти ,1
"С 2020г. на р\счете висят блокировки, хотя все задолженности уже давно погашены ",1
НДС на упрощенке ,1
Новая форма счета-фактуры с 01.07.21 ,1
УПД с 1 июля 2021 г ,1
Экспорт в .xls работает через раз ,1
"Нужен мануал по проведению эквайринга в доходы в 1С 8.3 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  усн Упрощенная система управления ",1
Договор цессии ,1
В отчетности 4 ФСС неправильно заполнялся адрес юр лица ,1
"Иностранная компания, счет в РФ банке, платит ли налоги? ",1
Информационное письмо с истребованием документов ,1
Уведомление об остатках прослеживаемых товаров ,1
6 НДФЛ за 2 кв. 2021 ,1
Оплата выходных в командировке! ,1
Исковое заявление от ПФР ,1
Камеральная по прибыли (убытку) ,1
О соразмерном уменьшении пени по авансовым платежам ,1
Рассрочка по взносам на 12 месяцев и переход в другую ИФНС ,1
Списание засора при продаже металлолома ,1
ОСНО: что сдаем за 2 квартал 2021 года ,1
Обособка и ККТ ,1
"Компании 4 года, 1С купили только в 2021 ",1
6НДФЛ 2 раздел ,1
Импорт из Казахстана ,1
"Возврат НДФЛ сотруднику ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Уточнение платежа ,1
Реализация за пределы РФ и входной НДС ,1
Экспорт и отметка на Заявлении импортера ,1
При взаимозачете не закрывается 60 счет ,1
Зарплата ген дира и аренда в ООО без ведения хоз деятельности последние год ,1
"Ген дир и монтажник в одном лице, как правильно оформить трудовые обязанности ",1
"НДС ИФНС пишет о том, что отгрузки материалов не подтверждены. Почему? ",1
Форма счета-фактуры ,1
Документы при приеме иностранца и сдача уведомлениия ,1
Справка о доходах для соцзащиты: как указать зарплату? ,1
Налог на имущество ,1
Форма УПД с 01.07.2021 ,1
УСН при закрытии ИП усн Упрощенная система управления ,1
Смерть директора ,1
Вычет по НДС частями по гтд в течении 3 лет ,1
Больничный и отпускные ,1
"РНПТ,остатки товара ",1
Дорогая льгота по короновирусу. Требование о несуществующей недоимке ,1
Замена товара в онлайн кассе ,1
Отпуск с увольнением ,1
Уведомление о приеме иностранца ,1
Курсовые разницы Филиала иностранной компании ,1
Обратный выкуп своих акций из свободного отражения ,1
"Указ Губернатора Воронежской области, что 26 декабря 2020 был перенесен на 31.12.2020 ",1
Продажа авто ,1
Маркировка текстиля и ККТ ,1
"Правомерно ли налоговая зачла переплату НДФЛ в счёт задолженности по ЕНВД ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Корректировать 1 квартал? ,1
Нужно ли вести раздельный учет прослеживаемых товаров ,1
Почему в 1С ЗУП 3.1 не заполняются заявление и справка-расчет в ФСС? ,1
Замена ворот на аналогичные в аредуемом помещении — капитальный или текущий ремонт? ,1
Соглашение о взаимозачете с физическим лицом ,1
"Лесозаготовки-УСН как же лучше быть на Доходы или ""Д-Р""? ",1
УПД : Грузополучатель и Покупатель разные юр лица ,1
"УСН, страховые взносы, ковид ",1
Можно ли учесть в расходах УСН комиссию банка за сервисное обслуживание терминала в магазине для приема оплаты пластиковыми картами? усн Упрощенная система управления ,1
ООО выдало займ учредителю. Какие проводки сделать? ,1
"Формировать чек онлайн-кассы, если оплата пришла от покупателя по расчетному счету(физ. лицо)? ",1
УСН+ПСН учет расходов псн Патентная система налогообложения усн Упрощенная система управления ,1
"Совмещение Патента и УСН, как оплачивать мин.налог? ",1
Обучающие сертификаты ,1
Какие форма декларации сдают оптовики пиво если они импортеры ,1
1С или Axapta ,1
Аутсорсинг - как настроить затраты? ,1
Навести порядок в торговле ,1
Национальный проект по прослеживаемости импортного товара ,1
3-ндфл при продаже земельного участка ,1
Требование о предоставлении пояснений ,1
Документальная прослеживаемость товаров ,1
"Физлиц одарил юр.лицо земельным участком, последствия? ",1
Учет у соинвестора реализации земельных участков ,1
Изменение кадастровой стоимости земельного участка ,1
"Стоимость оборудования в КС 2,3 ",1
"НДФЛ при продаже земельного участка ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Вайлдберриз. Работа по оферте и ОСНО ,1
Тест за счет работодателя ,1
Пояснительная записка ,1
Гособоронзаказ ,1
Оплата проезда до места работы при УСН ,1
Инвентаризация ,1
Оплата проезда работнику из другого региона при УСН ,1
Принятие к учету ОС усн Упрощенная система управления ,1
Уточнение платежа в УФК по ф 0531803 ,1
Как организовать процесс делопроизводства в частной компании? ,1
Требование ИФНС без указания адресата ,1
Потерян чек при заправке ГСМ ,1
Онлайн-касса ИП-физкультурно оздоровительная деятельность ,1
ОС на УСН 15% - можно ли в расходы? ,1
ККТ и взаимозачет ,1
Спор с налоговой по задолженности ндс ,1
Счета-фактуры за пределами 3 летнего срока ,1
Требование доначислить зарплату за прошлый год по среднеотраслевому критерию ,1
Условия для льгот IT компаний по взносам ,1
Сверка с ФСС по травматизму ,1
Возврат пустых бутылей ,1
Принятие к учету оборудования менее 100 тыс ,1
Учет расходов в поисковых систем Яндекс и Гугл ,1
Перевыставление расходов на тех.обслуживание авто арендодатель арендатору ,1
Как работать с агентским договором в 1с ,1
Неверно указан товар в чеке ,1
ФСБУ 25 в 1С 8.3 Бухгалтерия фсбу-25 Новый федеральный стандарт бухгалтерского учета ФСБУ 25/2018 носит название «Бухгалтерский учет арендной платы». Утвержден приказом Минфина от 16.10.2018 № 208н и зарегистрирован Минюстом 25.12.2018 (ПБУ вступило в силу).  ,1
Квитанция-договор ,1
Товарные остатки при патенте и УСН в одном периоде усн Упрощенная система управления ,1
Авансовый отчет: можно ли принять кассовые чеки старого образца? ,1
Номер единичной расценки ,1
Выплата доли выходящему учредителю самортизированным имуществом ,1
ООО Уменьшение УСН на страховые взносы усн Упрощенная система управления ,1
Учет сырья в общепите ,1
Новая версия 1С не открывает архивы прошлых лет с других версий ,1
Заполнение декларации усн 6% ,1
4-фсс в эл.виде когда считать сданным? ,1
Выездная проверка общепита -есть у кого опыт? ,1
"Сроки перечисления зп, отпускных и ндфл ",1
Налоговая выгода при дробление бизнеса ,1
Низкая налоговая нагрузка по налогу на прибыль ,1
Безвозмездная передача автомобиля ,1
Бесплатные подсказки по работе с программой Инфо-Бухгалтер-10 ,1
"Из декрета в декрет, а в промежутке самозанятая самозанятые Согласно закону самозанятый — это человек, который платит специальный налог на профессиональный доход (НПД). При этом не нужно дополнительно отчислять подоходный налог или налог на прибыль. ",1
Дебиторская и Кредиторская задолженность ,1
Продажа доп. оборудования в автосервисе - отдельный налог или нет? псн Патентная система налогообложения ,1
Требование - у контрагента выездная. Как избежать предоставления информации по нашим поставщикам? ,1
"Из декрета в декрет, а организация ликвидируется, возможна ли замена лет ",1
Странное требование из ИФНС ,1
"Нужно ли ИП пробивать чек при продаже автомобиля физлицу, зарегистрированному в качестве ИП? ип Индивидуальный предприниматель ",1
Карточка Т2 на совместителя ,1
Разница в налоговом и бухгалтерском учете материалов по ФСБУ 5/2019 ,1
"Налог на имущество (требование ифнс, декларация и баланс) ",1
1С:ЭДО / 1С:Отчетность - работая в общем не работает в частностях! Как подстраховаться? ,1
Новая форма УПД с 01.07.2021 ,1
Трудоустройство иностранца с разрешением на временное пребывание ,1
Что я делаю не так? Взносы ПФР и ФОМС для МСП ,1
Налогообложение добавочного капитала ,1
Приобретение недвижимости без платежек: налоги? ,1
"Патент на 3 кв, опять новшества ",1
Выездные проверки ,1
Иностранные работники ,1
СБИС! Верните СЗВ-ТД в общую отчетность ,1
Нулевка УСН ,1
"Заказчик не отвечает на письма и звонки подрядчика, не подписывает акты выполненых работ ",1
Нет номера больничного ,1
Детский вычет по НДФЛ ,1
Отчетность при продаже товаров в Армению ,1
Вклад учредителя ,1
Постановление Правительства РФ от 16.04.2021 N 604 ,1
"Как оформить реализацию товаров, приобретенных через подотчет? ",1
УСН налоговая ставка 5% правомерно? ,1
Применения ККТ при переводе со счёта ИП на личную карту ,1
Повышение средне заработной платы до МРОТ ,1
Путин и УСН до 2млрд? ,1
Нужно ли пересдавать Бухгалтерскую отчетность в ИФНС в случае ошибки в адресе ,1
"Почему в КУДИР не заполняется графа «Расходы всего», но при этом заполняется «в т.ч. расходы, учитываемые при исчислении налоговой базы» ",1
Колеги помогите пожалуйста про лизинг и топливо ,1
"Камеральная проверка по УСН, как грамотно отписаться ",1
"Нужно ли в 2021 подписывать бумажное ""Соглашение об ЭДО"" с ПФР для сдачи СЗВ-М, СЗВ-ТД? Или можно все сделать дистанционно? ",1
